iter	RMSE
0	1075.522965
1	885.7328149
2	744.2108472
3	627.6007118
4	540.135695
5	465.4866718
6	411.0026385
7	370.1034339
8	337.3001202
9	315.2836099
10	300.2778631
11	287.2590537
12	274.6393244
13	268.0009232
14	264.3090258
15	253.5918696
16	250.1825553
17	244.7770285
18	240.3302236
19	232.9216519
20	226.9570388
21	224.1411712
22	221.3165158
23	216.0314682
24	213.2626351
25	210.1847844
26	206.5771382
27	203.9716956
28	201.454629
29	197.9675057
30	195.4284604
31	193.8170276
32	192.5727341
33	190.3648
34	189.2817521
35	186.5300499
36	185.6239822
37	181.3232418
38	179.2432975
39	176.937268
40	175.0002327
41	173.339142
42	171.114616
43	169.1450903
44	167.2897121
45	166.5165635
46	165.0224579
47	163.7396246
48	162.1548402
49	160.7859592
50	159.6694089
51	157.8539117
52	156.4910705
53	154.428148
54	152.8508794
55	151.4879107
56	150.1126083
57	145.90321
58	144.3715079
59	143.869283
60	142.9857012
61	141.2897784
62	138.812298
63	138.3422346
64	136.4932615
65	135.8908057
66	133.707717
67	133.1076612
68	132.1570625
69	131.0945801
70	130.4281739
71	129.7505457
72	128.5114995
73	128.0118904
74	127.0791454
75	125.5968613
76	124.7521014
77	123.7407606
78	121.7643602
79	121.0481567
80	120.2904675
81	119.5743399
82	118.3923629
83	116.8235083
84	116.3516515
85	115.8520659
86	114.7382537
87	114.1398053
88	113.6699779
89	113.3149277
90	112.8677257
91	112.4364191
92	111.7780628
93	111.0974259
94	110.4632469
95	110.0212008
96	109.6160619
97	109.2419755
98	109.0048993
99	108.1758111
100	107.1375065
101	106.4318441
102	105.8927481
103	105.5418243
104	105.0935591
105	104.5410332
106	104.1428501
107	103.7144455
108	103.0448832
109	102.3525079
110	101.9302311
111	101.4486982
112	100.6855169
113	100.0142478
114	99.58001578
115	98.89991921
116	98.40329719
117	98.00594283
118	97.66999999
119	97.10374784
120	96.80047039
121	96.56954483
122	95.90658437
123	95.31780103
124	94.89628379
125	94.03512401
126	93.43945972
127	92.83668016
128	92.54203634
129	92.0584272
130	91.58411236
131	91.26245909
132	90.54486174
133	90.07411074
134	89.68148545
135	89.27727377
136	89.03381925
137	88.91737511
138	88.62343698
139	88.29576365
140	88.00152255
141	87.16167962
142	86.73076517
143	86.45926605
144	86.13187443
145	85.64852399
146	85.39640345
147	85.22436796
148	84.84372804
149	84.44447499
150	83.87806352
151	83.58897794
152	83.33866888
153	83.09502874
154	82.81676598
155	82.51280228
156	81.86165467
157	81.67596235
