iter	Passed	Remaining
0	1	556
1	2	710
2	3	639
3	5	669
4	6	686
5	8	699
6	10	725
7	11	721
8	13	742
9	15	752
10	17	782
11	19	800
12	21	794
13	23	800
14	23	770
15	25	767
16	26	765
17	28	761
18	30	761
19	31	764
20	33	763
21	35	762
22	36	757
23	38	754
24	40	762
25	41	765
26	43	767
27	45	769
28	47	772
29	49	773
30	51	776
31	53	786
32	56	794
33	57	794
34	60	799
35	62	799
36	64	800
37	66	807
38	69	820
39	72	830
40	75	847
41	79	865
42	81	871
43	84	873
44	85	866
45	87	862
46	88	856
47	90	851
48	92	851
49	94	849
50	96	850
51	98	847
52	100	847
53	103	853
54	105	853
55	107	852
56	109	854
57	111	851
58	113	847
59	115	844
60	117	842
61	118	840
62	120	836
63	122	836
64	125	838
65	128	844
66	130	846
67	134	855
68	138	863
69	140	864
70	143	866
71	145	866
72	149	872
73	151	873
74	154	876
75	157	877
76	159	875
77	161	873
78	163	870
79	165	867
80	167	864
81	169	862
82	171	861
83	173	860
84	175	857
85	177	856
86	179	851
87	181	848
88	183	848
89	185	845
90	187	842
91	189	838
92	190	835
93	192	832
94	194	829
95	196	827
96	198	824
97	199	819
98	201	816
99	203	812
100	204	808
101	206	804
102	208	802
103	209	798
104	211	795
105	213	792
106	215	790
107	216	787
108	219	786
109	221	784
110	223	783
111	225	780
112	227	778
113	229	777
114	231	774
115	233	771
116	235	769
117	236	766
118	238	763
119	239	759
120	241	757
121	244	757
122	246	755
123	248	753
124	254	763
125	257	765
126	260	765
127	264	770
128	267	768
129	269	765
130	271	765
131	274	766
132	276	764
133	279	763
134	281	761
135	283	759
136	285	757
137	287	755
138	289	751
139	292	751
140	293	748
141	295	744
142	297	741
143	299	741
144	302	741
145	304	739
146	307	738
147	309	735
148	311	733
149	313	730
150	316	732
151	318	729
152	320	727
153	322	725
154	325	724
155	327	721
156	329	718
157	330	715
158	333	714
159	335	713
160	337	711
161	339	707
162	340	704
163	342	701
164	344	699
165	346	696
166	347	693
167	349	690
168	351	687
169	353	686
170	355	684
171	357	682
172	359	680
173	361	677
174	364	676
175	366	673
176	368	672
177	371	671
178	373	669
179	375	668
180	378	666
181	380	665
182	383	664
183	385	661
184	387	659
185	389	656
186	390	654
187	392	651
188	395	650
189	396	647
190	398	644
191	400	642
192	401	639
193	403	637
194	406	635
195	407	632
196	410	630
197	411	628
198	413	625
199	415	622
200	416	619
201	418	617
202	419	614
203	421	611
204	423	608
205	424	605
206	426	603
207	427	600
208	429	597
209	430	594
210	432	592
211	434	590
212	436	587
213	437	585
214	439	582
215	441	579
216	442	577
217	444	575
218	446	572
219	448	571
220	450	568
